Weiße Buchstaben fallen vor einem schwarzen Hintergrund deutlich auf.;White letters stand out clearly against a black background.
Ein Schild weist in Richtung der Stadt.;A sign indicates the direction to the city.
Die Polizistin hebelte die Tür aus den Angeln.;The police officer levered the door off its hinges.
Ich stellte das Buch zurück ins Regal.;I put the book back on the shelf.
Meine kleine Schwester ist zäh und gibt nie auf.;My little sister is tough and never gives up.
Ich möchte meine Zeit nicht mit Nichtstun vergeuden. ;I do not want to waste my time by doing nothing.
Ihr Haar ist von blonden Strähnen durchzogen.;Her hair is streaked with blonde strands.
Die Anzeige des Navigationsgeräts sollte auf Augenhöhe angebracht sein.;The display of the navigation system should be mounted at eye level.
Das Unternehmen vertreibt seine Produkte im Ausland.;The company sells its products abroad.
Ärzte müssen sich sorgfältig vor Keimen schützen.;Doctors must carefully protect themselves from germs.
Mein Kater markierte den Garten als sein Revier.;My tomcat marked the garden as his territory.
Die Anwendung wird den Computer verlangsamen.;The application will slow down the computer.
Ich würde das Sofa mehr nach rechts schieben.;I would push the sofa further to the right.
Ich speicherte den Text, nachdem ich einige Änderungen vorgenommen hatte. ;I saved the text after making some alterations. 
Das höchste Ziel unseres Verbands ist, die Menschenrechte zu wahren.;Our association's highest goal is to preserve human rights.
Das Kaninchen erstarrte vor Schreck und lief dann weg.;The rabbit froze with fear, then ran away.
Wir beantragten einen Aufschub für das Projekt.;We requested a delay for the project.
Ein Hauch von Schnee hatte den Rasen über Nacht weiß gefärbt.;A touch of snow had turned the lawn white overnight.
